id,category,tamil,translit,english
1,accommodation,ஒரு ேஹாட்டல் எங்ேக?,Oru hottal enke?,Where is a hotel?
2,accommodation,ஒரு இரவுக்கு எவ்வளவு?,Oru iravukku evvalavu?,How much is it per night?
3,accommodation,காைல உணவு ேசர்க்கப்பட்டுள்ளதா?,Kalai unavu cerkkappattullata?,Is breakfast included?
4,accommodation,என்னிடம் 2 இரவுகள் / வாரங்களுக்கு முன்பதிவு உள்ளது,Ennitam 2 iravukal/ varankalukku munpativu ullatu,I have a reservation for 2 nights / weeks.
5,accommodation,இங்கு வயர்ெலஸ் இைணய வசதி உள்ளதா?,Inku vayarles inaiya vacati ullata?,Is there wireless internet access here?
6,accommodation,உங்களிடம் இரட்ைட / ஒற்ைற / குடும்ப அைற உள்ளதா?,Unkalitam irattai/ orrai/ kutumpa arai ullata?,Do you have a double / single / family room?
7,accommodation,நான் அைறையப் பார்க்கலாமா?,Nan araiyaip parkkalama?,Can I see the room?
8,accommodation,காைல உணவு எப்ேபாது/எங்ேக வழங்கப்படுகிறது?,Kalai unavu eppotu/enke valankappatukiratu?,When/Where is breakfast served?
9,accommodation,நீங்கள் இங்ேக சுற்றுப்பயணங்கைள ஏற்பாடு ெசய்கிறீர்களா?,Ninkal inke curruppayanankalai erpatu ceykirirkala?,Do you arrange tours here?
10,accommodation,தயவு ெசய்து எனது சாவிைய நான் ெபற முடியுமா?,Tayavu ceytu enatu caviyai nan pera mutiyuma?,"Could I have my key, please?"
11,accommodation,"மன்னிக்கவும், என் சாவிைய இழந்துவிட்ேடன்!","Mannikkavum, en caviyai ilantuvitten!","Sorry, I lost my key!"
12,accommodation,ெவந்நீர் இல்ைல,Vennir illai,There is no hot water.
13,accommodation,ஏர் கண்டிஷனர் / ஹீட்டர் / ஃேபன் ேவைல ெசய்யாது,Er kantisanar/ hittar/ hpen velai ceyyatu,The air conditioner / heater / fan does not work.
14,accommodation,ெசக் அவுட் எத்தைன மணிக்கு?,Cek avut ettanai manikku?,What time is checkout?
15,accommodation,தயவுெசய்து எனது ைவப்புத்ெதாைகைய நான் ைவத்திருக்க முடியுமா?,Tayavuceytu enatu vaipputtokaiyai nan vaittirukka mutiyuma?,"Could I have my deposit, please?"
16,accommodation,எனக்காக ஒரு டாக்ஸிைய அைழக்க முடியுமா?,Enakkaka oru taksiyai alaikka mutiyuma?,Can you call a taxi for me?
